datetime,temperature,humidity,wind_speed
2026-05-13 09:00:00,35.59,39,6.97
2026-05-13 12:00:00,33.88,47,6.09
2026-05-13 15:00:00,29.38,74,4.1
2026-05-13 18:00:00,28.64,79,3.28
2026-05-13 21:00:00,27.97,81,3.79
2026-05-14 00:00:00,27.78,78,1.28
2026-05-14 03:00:00,33.36,42,2.69
2026-05-14 06:00:00,39.91,26,3.1
2026-05-14 09:00:00,36.39,42,7.93
2026-05-14 12:00:00,30.9,64,7.82
2026-05-14 15:00:00,29.72,72,3.01
2026-05-14 18:00:00,29.18,70,4.1
2026-05-14 21:00:00,28.93,66,2.15
2026-05-15 00:00:00,28.86,64,1.78
2026-05-15 03:00:00,34.66,42,4.72
2026-05-15 06:00:00,40.13,26,7.56
2026-05-15 09:00:00,42.79,20,5.1
2026-05-15 12:00:00,34.46,49,5.93
2026-05-15 15:00:00,31.17,66,6.55
2026-05-15 18:00:00,31.88,54,6.63
2026-05-15 21:00:00,30.7,60,4.83
2026-05-16 00:00:00,30.37,52,1.58
2026-05-16 03:00:00,35.65,38,4.56
2026-05-16 06:00:00,39.74,26,4.19
2026-05-16 09:00:00,39.97,26,1.25
2026-05-16 12:00:00,33.01,52,5.3
2026-05-16 15:00:00,32.17,56,5.34
2026-05-16 18:00:00,31.31,60,7.08
2026-05-16 21:00:00,30.92,62,6.0
2026-05-17 00:00:00,31.67,54,2.86
2026-05-17 03:00:00,37.86,31,4.92
2026-05-17 06:00:00,43.49,19,5.98
2026-05-17 09:00:00,44.45,18,3.23
2026-05-17 12:00:00,38.59,32,5.93
2026-05-17 15:00:00,32.69,60,3.47
2026-05-17 18:00:00,33.84,49,8.32
2026-05-17 21:00:00,33.89,36,3.76
2026-05-18 00:00:00,32.21,40,2.25
2026-05-18 03:00:00,37.7,32,6.43
2026-05-18 06:00:00,43.09,18,7.3
